DATE,USEPUINDXM
1985-01-01,125.22474
1985-02-01,99.02081
1985-03-01,112.19051
1985-04-01,102.81132
1985-05-01,120.08272
1985-06-01,132.71319
1985-07-01,128.00182
1985-08-01,126.76611
1985-09-01,126.76856
1985-10-01,116.05771
1985-11-01,122.03688
1985-12-01,133.24392
1986-01-01,155.93292
1986-02-01,159.46768
1986-03-01,160.19810
1986-04-01,150.36626
1986-05-01,132.63792
1986-06-01,122.51177
1986-07-01,132.11963
1986-08-01,127.55250
1986-09-01,132.01833
1986-10-01,111.50927
1986-11-01,115.02029
1986-12-01,108.96811
1987-01-01,122.11428
1987-02-01,109.14523
1987-03-01,122.08486
1987-04-01,110.85971
1987-05-01,110.04291
1987-06-01,121.15791
1987-07-01,106.34800
1987-08-01,74.83796
1987-09-01,78.98139
1987-10-01,143.60309
1987-11-01,155.42208
1987-12-01,135.47265
1988-01-01,131.52146
1988-02-01,116.58432
1988-03-01,105.05246
1988-04-01,113.65598
1988-05-01,96.14572
1988-06-01,89.78251
1988-07-01,85.18198
1988-08-01,100.15845
1988-09-01,94.55409
1988-10-01,102.23078
1988-11-01,113.95989
1988-12-01,99.66633
1989-01-01,105.07536
1989-02-01,84.84484
1989-03-01,97.21567
1989-04-01,108.86306
1989-05-01,87.81604
1989-06-01,94.83974
1989-07-01,84.56992
1989-08-01,95.86038
1989-09-01,90.91820
1989-10-01,91.59669
1989-11-01,107.84913
1989-12-01,107.09523
1990-01-01,100.35918
1990-02-01,89.59095
1990-03-01,86.06529
1990-04-01,76.66170
1990-05-01,118.53795
1990-06-01,120.52674
1990-07-01,111.56962
1990-08-01,142.16524
1990-09-01,157.69529
1990-10-01,141.11953
1990-11-01,145.29094
1990-12-01,134.48512
1991-01-01,175.65861
1991-02-01,115.21345
1991-03-01,116.02571
1991-04-01,107.24167
1991-05-01,94.75868
1991-06-01,96.93760
1991-07-01,93.53158
1991-08-01,100.59554
1991-09-01,117.04782
1991-10-01,105.54142
1991-11-01,122.24914
1991-12-01,139.99912
1992-01-01,109.20085
1992-02-01,125.53676
1992-03-01,91.70582
1992-04-01,87.58229
1992-05-01,96.87495
1992-06-01,122.34916
1992-07-01,120.91493
1992-08-01,115.90751
1992-09-01,127.01963
1992-10-01,138.52178
1992-11-01,118.77686
1992-12-01,106.86792
1993-01-01,102.53033
1993-02-01,119.96253
1993-03-01,121.55786
1993-04-01,109.25684
1993-05-01,133.58967
1993-06-01,126.04877
1993-07-01,117.58450
1993-08-01,106.03237
1993-09-01,106.27469
1993-10-01,84.48769
1993-11-01,84.55661
1993-12-01,77.52033
1994-01-01,80.00980
1994-02-01,94.59270
1994-03-01,87.00632
1994-04-01,100.41637
1994-05-01,96.52730
1994-06-01,92.37979
1994-07-01,85.37095
1994-08-01,92.82606
1994-09-01,90.63002
1994-10-01,76.49899
1994-11-01,91.77528
1994-12-01,91.79500
1995-01-01,107.95494
1995-02-01,86.32307
1995-03-01,78.09662
1995-04-01,65.99178
1995-05-01,74.70236
1995-06-01,79.67356
1995-07-01,83.03811
1995-08-01,66.76376
1995-09-01,75.22518
1995-10-01,80.62605
1995-11-01,90.53283
1995-12-01,84.34724
1996-01-01,90.66317
1996-02-01,75.83463
1996-03-01,72.65243
1996-04-01,69.19065
1996-05-01,69.42779
1996-06-01,81.17971
1996-07-01,73.61083
1996-08-01,83.65826
1996-09-01,77.97562
1996-10-01,64.19595
1996-11-01,74.20867
1996-12-01,69.97417
1997-01-01,74.96831
1997-02-01,87.69729
1997-03-01,75.01231
1997-04-01,75.45429
1997-05-01,73.45813
1997-06-01,78.48298
1997-07-01,73.89487
1997-08-01,63.80988
1997-09-01,61.15956
1997-10-01,83.65215
1997-11-01,78.39389
1997-12-01,88.74448
1998-01-01,91.04062
1998-02-01,88.81944
1998-03-01,78.38832
1998-04-01,73.20014
1998-05-01,75.85510
1998-06-01,76.28635
1998-07-01,88.17701
1998-08-01,101.40807
1998-09-01,123.96147
1998-10-01,109.88134
1998-11-01,92.94632
1998-12-01,91.40618
1999-01-01,98.64504
1999-02-01,82.38359
1999-03-01,66.00054
1999-04-01,67.53295
1999-05-01,67.08854
1999-06-01,73.01111
1999-07-01,79.81311
1999-08-01,69.55318
1999-09-01,69.81624
1999-10-01,62.71155
1999-11-01,82.06383
1999-12-01,83.80947
2000-01-01,89.20154
2000-02-01,77.60139
2000-03-01,77.54831
2000-04-01,76.05923
2000-05-01,97.98620
2000-06-01,92.96502
2000-07-01,79.44697
2000-08-01,66.58133
2000-09-01,75.14165
2000-10-01,84.66172
2000-11-01,125.06753
2000-12-01,115.26872
2001-01-01,111.41604
2001-02-01,110.91785
2001-03-01,116.02693
2001-04-01,122.67340
2001-05-01,100.42901
2001-06-01,86.39027
2001-07-01,102.13185
2001-08-01,84.28912
2001-09-01,188.05949
2001-10-01,173.14334
2001-11-01,130.57563
2001-12-01,117.23658
2002-01-01,116.83745
2002-02-01,87.60069
2002-03-01,83.44043
2002-04-01,88.56610
2002-05-01,86.29886
2002-06-01,93.61022
2002-07-01,110.30517
2002-08-01,116.01482
2002-09-01,124.04315
2002-10-01,111.88598
2002-11-01,123.28439
2002-12-01,122.22166
2003-01-01,138.95340
2003-02-01,126.72774
2003-03-01,163.52381
2003-04-01,135.62755
2003-05-01,102.61982
2003-06-01,95.82729
2003-07-01,91.74151
2003-08-01,95.67182
2003-09-01,106.11577
2003-10-01,88.04379
2003-11-01,84.91824
2003-12-01,91.73699
2004-01-01,96.56646
2004-02-01,99.45730
2004-03-01,96.78947
2004-04-01,94.11529
2004-05-01,92.32118
2004-06-01,85.34598
2004-07-01,87.54419
2004-08-01,85.92587
2004-09-01,100.01189
2004-10-01,105.69511
2004-11-01,95.24086
2004-12-01,77.59643
2005-01-01,73.91848
2005-02-01,58.95005
2005-03-01,57.55796
2005-04-01,74.56597
2005-05-01,70.50812
2005-06-01,74.56133
2005-07-01,68.71645
2005-08-01,64.39586
2005-09-01,91.40605
2005-10-01,76.16369
2005-11-01,72.21598
2005-12-01,78.04893
2006-01-01,79.17535
2006-02-01,72.69299
2006-03-01,64.22933
2006-04-01,79.76153
2006-05-01,70.83626
2006-06-01,79.49433
2006-07-01,80.56231
2006-08-01,72.76996
2006-09-01,67.06754
2006-10-01,63.46447
2006-11-01,62.51985
2006-12-01,63.37041
2007-01-01,79.01967
2007-02-01,57.20262
2007-03-01,69.88729
2007-04-01,62.50170
2007-05-01,74.68187
2007-06-01,73.29654
2007-07-01,59.32398
2007-08-01,89.10405
2007-09-01,100.74438
2007-10-01,89.45453
2007-11-01,102.44111
2007-12-01,108.54379
2008-01-01,144.98473
2008-02-01,108.10469
2008-03-01,111.71236
2008-04-01,102.19690
2008-05-01,94.28405
2008-06-01,94.55676
2008-07-01,109.78898
2008-08-01,95.87076
2008-09-01,187.74030
2008-10-01,189.91729
2008-11-01,148.84257
2008-12-01,145.99470
2009-01-01,171.94621
2009-02-01,187.11403
2009-03-01,166.90338
2009-04-01,131.85612
2009-05-01,138.80585
2009-06-01,130.93348
2009-07-01,126.28215
2009-08-01,152.55009
2009-09-01,145.44437
2009-10-01,138.13055
2009-11-01,116.16231
2009-12-01,121.22101
2010-01-01,149.35928
2010-02-01,132.79865
2010-03-01,137.47003
2010-04-01,137.07740
2010-05-01,151.10342
2010-06-01,140.56916
2010-07-01,180.01446
2010-08-01,147.30909
2010-09-01,182.14672
2010-10-01,163.42489
2010-11-01,179.13559
2010-12-01,165.40785
2011-01-01,142.17046
2011-02-01,145.50890
2011-03-01,174.35437
2011-04-01,157.49588
2011-05-01,126.19207
2011-06-01,158.08862
2011-07-01,197.91636
2011-08-01,245.12671
2011-09-01,204.62979
2011-10-01,159.73957
2011-11-01,166.33902
2011-12-01,189.39836
2012-01-01,178.28653
2012-02-01,149.63708
2012-03-01,137.55311
2012-04-01,136.59669
2012-05-01,158.56198
2012-06-01,194.61057
2012-07-01,184.87970
2012-08-01,152.35347
2012-09-01,175.27705
2012-10-01,165.94452
2012-11-01,187.49064
2012-12-01,192.82518
2013-01-01,157.53330
2013-02-01,114.65412
2013-03-01,124.94082
2013-04-01,118.71049
2013-05-01,104.30455
2013-06-01,114.61614
2013-07-01,94.03991
2013-08-01,102.77067
2013-09-01,144.40178
2013-10-01,171.02225
2013-11-01,89.90614
2013-12-01,104.60212
2014-01-01,93.50074
2014-02-01,88.98535
2014-03-01,93.46759
2014-04-01,91.11802
2014-05-01,90.39225
2014-06-01,81.00762
2014-07-01,76.64489
2014-08-01,71.26214
2014-09-01,84.33692
2014-10-01,100.20666
2014-11-01,88.56003
2014-12-01,85.18750
2015-01-01,117.16063
2015-02-01,100.31974
2015-03-01,105.21813
2015-04-01,109.64379
2015-05-01,101.01894
2015-06-01,108.95279
2015-07-01,98.91843
2015-08-01,129.69532
2015-09-01,138.72169
2015-10-01,102.89402
2015-11-01,92.10044
2015-12-01,99.34261
2016-01-01,119.01519
2016-02-01,114.62456
2016-03-01,104.19081
2016-04-01,84.25134
2016-05-01,82.04127
2016-06-01,162.62912
2016-07-01,121.96465
2016-08-01,91.82890
2016-09-01,79.80896
2016-10-01,92.51785
2016-11-01,169.37782
2016-12-01,115.15205
2017-01-01,134.86953
2017-02-01,133.33148
2017-03-01,119.77617
2017-04-01,121.57059
2017-05-01,104.17097
2017-06-01,98.75896
2017-07-01,110.75360
2017-08-01,109.17827
2017-09-01,96.75077
2017-10-01,102.16057
2017-11-01,94.48961
2017-12-01,111.49723
2018-01-01,123.65156
2018-02-01,94.00742
2018-03-01,136.33432
2018-04-01,108.21374
2018-05-01,124.93665
2018-06-01,108.62740
2018-07-01,133.08625
2018-08-01,99.13562
2018-09-01,102.66020
2018-10-01,111.51257
2018-11-01,130.22387
2018-12-01,166.28681
2019-01-01,201.03201
2019-02-01,106.90066
2019-03-01,140.24737
2019-04-01,98.73670
2019-05-01,122.53876
2019-06-01,150.11678
2019-07-01,149.97290
2019-08-01,190.46323
2019-09-01,134.36178
2019-10-01,118.48822
2019-11-01,131.75071
2019-12-01,143.46725
2020-01-01,131.39109
2020-02-01,160.51565
2020-03-01,283.14721
2020-04-01,268.61639
2020-05-01,350.45982
2020-06-01,231.25980
2020-07-01,305.96355
2020-08-01,224.42637
2020-09-01,218.05829
2020-10-01,249.17362
2020-11-01,246.70710
2020-12-01,246.12610
2021-01-01,207.91242
2021-02-01,151.93288
2021-03-01,139.80120
2021-04-01,124.88952
2021-05-01,147.01584
2021-06-01,133.57887
2021-07-01,152.91092
2021-08-01,133.81455
2021-09-01,142.06763
2021-10-01,121.95150
2021-11-01,151.28684
2021-12-01,166.24265
2022-01-01,139.23758
2022-02-01,138.05353
2022-03-01,190.01241
2022-04-01,154.66196
2022-05-01,168.00083
2022-06-01,145.97594
2022-07-01,186.92141
2022-08-01,163.23982
2022-09-01,174.18347
2022-10-01,177.42313
2022-11-01,171.73726
2022-12-01,136.43315
2023-01-01,143.09753
2023-02-01,124.10951
2023-03-01,151.93140
2023-04-01,136.76864
